 "subject" , "predicate" , "object" ,
 "http://givingsense.eu/sembib/onto/tpt/biblio/13143" , "http://givingsense.eu/sembib/onto/inConf" , "http://givingsense.eu/sembib/onto/channels/ISBI2013" ,
 "http://givingsense.eu/sembib/onto/tpt/biblio/13143" , "http://givingsense.eu/sembib/onto/inConf" , "http://givingsense.eu/sembib/onto/ISBI2013" ,
 "http://givingsense.eu/sembib/onto/ISBI2013" , "http://lod.springer.com/data/ontology/property/hasSeries" , "http://givingsense.eu/sembib/onto/channels/isbi" ,
 "http://givingsense.eu/sembib/onto/channels/isbi" , "http://purl.org/dc/elements/1.1/label" , "isbi" ,
 "http://givingsense.eu/sembib/onto/tpt/biblio/13150" , "http://givingsense.eu/sembib/onto/inConf" , "http://givingsense.eu/sembib/onto/channels/WINTER2013" ,
 "http://givingsense.eu/sembib/onto/tpt/biblio/13150" , "http://givingsense.eu/sembib/onto/inConf" , "http://givingsense.eu/sembib/onto/WINTER2013" ,
 "http://givingsense.eu/sembib/onto/WINTER2013" , "http://lod.springer.com/data/ontology/property/hasSeries" , "http://givingsense.eu/sembib/onto/channels/winter" ,
 "http://givingsense.eu/sembib/onto/channels/winter" , "http://purl.org/dc/elements/1.1/label" , "winter" ,
 "http://givingsense.eu/sembib/onto/tpt/biblio/13315" , "http://givingsense.eu/sembib/onto/inConf" , "http://givingsense.eu/sembib/onto/channels/ITA2013" ,
 "http://givingsense.eu/sembib/onto/tpt/biblio/13315" , "http://givingsense.eu/sembib/onto/inConf" , "http://givingsense.eu/sembib/onto/ITA2013" ,
 "http://givingsense.eu/sembib/onto/ITA2013" , "http://lod.springer.com/data/ontology/property/hasSeries" , "http://givingsense.eu/sembib/onto/channels/ita" ,
 "http://givingsense.eu/sembib/onto/channels/ita" , "http://purl.org/dc/elements/1.1/label" , "ita" ,
 "http://givingsense.eu/sembib/onto/tpt/biblio/13441" , "http://givingsense.eu/sembib/onto/inConf" , "http://givingsense.eu/sembib/onto/channels/WCNC2013" ,
 "http://givingsense.eu/sembib/onto/tpt/biblio/13441" , "http://givingsense.eu/sembib/onto/inConf" , "http://givingsense.eu/sembib/onto/WCNC2013" ,
